12
method,classifier,score_type,mean,stdev,time,all_scores
All,knn,accuracy,0.5490008951763061,0.01569497474463251,0.9074022769927979,"[0.5183823529411765, 0.5674019607843137, 0.5571955719557196, 0.5424354243542435, 0.5381773399014779, 0.5677339901477833, 0.5554187192118226, 0.5332512315270936, 0.5661310259579728, 0.5438813349814586]"
All,knn,fscore,0.5316864495871104,0.015094903047854396,0.9074022769927979,"[0.49602234100500114, 0.5414062054432259, 0.5394173748665433, 0.5284630415160434, 0.5253144535672354, 0.5493555285550091, 0.5350430555036538, 0.5186800280051973, 0.5490963891971189, 0.5340660782120764]"
All,ffnn,accuracy,0.6396696155388157,0.01895182589958416,473.4298861026764,"[0.6605392168549931, 0.6507352929489285, 0.6285362864625703, 0.6617466184925769, 0.6379310356572344, 0.647783251818765, 0.6576354668058199, 0.6342364532019704, 0.6019777498669618, 0.6155747832783368]"
All,ffnn,fscore,0.6216047124562708,0.03275372649396211,473.4298861026764,"[0.5944560596816515, 0.6319381018984294, 0.6099872679653514, 0.6508769061744988, 0.6443402803665346, 0.6666771648477824, 0.6471776536131192, 0.6322632227827963, 0.5753540262850637, 0.5629764409474801]"
All,nb,accuracy,0.4595234832671661,0.014101421976890785,0.13906645774841309,"[0.4362745098039216, 0.4497549019607843, 0.45264452644526443, 0.47601476014760147, 0.47044334975369456, 0.4445812807881773, 0.4753694581280788, 0.45566502463054187, 0.4796044499381953, 0.45488257107540175]"
All,nb,fscore,0.4485836398771374,0.018565968409903027,0.13906645774841309,"[0.41890867481000044, 0.43060069790230254, 0.4422893988366977, 0.46254708702560016, 0.4577344305945245, 0.4316187092330196, 0.47153617598499625, 0.4459529647432234, 0.4813698565577884, 0.4432784030832209]"
CPCA,knn,accuracy,0.5398836979868025,0.018048966797492374,0.6075441837310791,"[0.5208333333333334, 0.5404411764705882, 0.5522755227552275, 0.5694956949569495, 0.5381773399014779, 0.5455665024630542, 0.5467980295566502, 0.5110837438423645, 0.5587144622991347, 0.515451174289246]"
CPCA,knn,fscore,0.5211384830479758,0.016637914401220272,0.6075441837310791,"[0.5065317257659886, 0.5248537024087538, 0.5362970257969004, 0.550405287648093, 0.5212875483740935, 0.5247947677643295, 0.5225344487047178, 0.49560278554186976, 0.5332496059753489, 0.4958279324996622]"
CPCA,ffnn,accuracy,0.6466326977670795,0.019417012336846805,489.633535861969,"[0.633578431372549, 0.6433823529411765, 0.655596556991962, 0.6359163604832516, 0.6280788171467523, 0.6564039423547942, 0.6120689658108603, 0.6490147792059799, 0.6736711980533246, 0.6786155733101448]"
CPCA,ffnn,fscore,0.6307698217030269,0.03073231024988618,489.633535861969,"[0.6456562894624905, 0.6338625903689702, 0.6516133243527988, 0.5904230078075351, 0.6456171318959841, 0.6510762364293504, 0.5765041139715343, 0.5900476694038951, 0.6573874606241796, 0.6655103927135304]"
CPCA,nb,accuracy,0.4592603476619341,0.02351419971238199,0.13759875297546387,"[0.46691176470588236, 0.43504901960784315, 0.46002460024600245, 0.46740467404674046, 0.5049261083743842, 0.458128078817734, 0.479064039408867, 0.41133004926108374, 0.4561186650185414, 0.453646477132262]"
CPCA,nb,fscore,0.44682299749553084,0.037559280355625224,0.13759875297546387,"[0.45604109128419357, 0.40564842885945307, 0.45285384135068013, 0.45617549526298456, 0.5143114199751492, 0.43978299628707246, 0.4862370236859993, 0.36968192104349257, 0.449892022110813, 0.43760573509547057]"
