12
method,classifier,score_type,mean,stdev,time,all_scores
All,knn,accuracy,0.549489008567912,0.007899015221212865,0.9313995838165283,"[0.5526960784313726, 0.5490196078431373, 0.5485854858548586, 0.5535055350553506, 0.5492610837438424, 0.541871921182266, 0.5480295566502463, 0.5320197044334976, 0.5574783683559951, 0.5624227441285538]"
All,knn,fscore,0.5320338844005967,0.008198894253421088,0.9313995838165283,"[0.537879323327677, 0.526934194607627, 0.5381099126571365, 0.5268586728542074, 0.5369148521204609, 0.528931238580184, 0.5295965701201805, 0.514254585094419, 0.5353372786894289, 0.5455222159546466]"
All,ffnn,accuracy,0.6458816541034175,0.013571843569429674,501.7334072589874,"[0.6446078431372549, 0.6458333345020518, 0.6346863478165564, 0.6457564585176635, 0.6379310344827587, 0.6416256154699279, 0.6293103436531104, 0.6453201985124297, 0.6514215082556415, 0.6823238566867795]"
All,ffnn,fscore,0.635115160883475,0.020937377509833363,501.7334072589874,"[0.6348410863762295, 0.6124911138188455, 0.5954198253824999, 0.6429208253978228, 0.6417695210802928, 0.6281339487747019, 0.6222961666764093, 0.6432897745450289, 0.6570754625764085, 0.6729138842065102]"
All,nb,accuracy,0.46011765196149834,0.015315608641095001,0.16115403175354004,"[0.46568627450980393, 0.46568627450980393, 0.4354243542435424, 0.4612546125461255, 0.4445812807881773, 0.4544334975369458, 0.458128078817734, 0.49014778325123154, 0.44746600741656367, 0.4783683559950556]"
All,nb,fscore,0.44929198493622663,0.021265749584371652,0.16115403175354004,"[0.45566956167721423, 0.4574091118397, 0.40972421316659724, 0.44446852203328074, 0.4330208164623089, 0.4428131698626788, 0.4442314104624297, 0.4934051117680515, 0.4409862474673303, 0.4711916846226742]"
CPCA,knn,accuracy,0.5450355817959713,0.01637172566763709,0.6589593887329102,"[0.5379901960784313, 0.5674019607843137, 0.5510455104551045, 0.5461254612546126, 0.5665024630541872, 0.5320197044334976, 0.5566502463054187, 0.5233990147783252, 0.5525339925834364, 0.5166872682323856]"
CPCA,knn,fscore,0.5263519746391265,0.016900420700556824,0.6589593887329102,"[0.5195626501777031, 0.5491989085275051, 0.5333549293823208, 0.5318904061968568, 0.5461001048281454, 0.5151258754435307, 0.5379238933449895, 0.4987364949665081, 0.5327510918917842, 0.4988753916319215]"
CPCA,ffnn,accuracy,0.6283883744211336,0.04173814129853708,548.3459737300873,"[0.6384803909881442, 0.6274509792234383, 0.6285362863159414, 0.6359163601166794, 0.6527093598995303, 0.6465517229634553, 0.508620689214744, 0.6650246299546341, 0.6266996305716789, 0.6538936949630898]"
CPCA,ffnn,fscore,0.6094988121601428,0.05602045995264714,548.3459737300873,"[0.6339117617459371, 0.6273162594834757, 0.602577782571123, 0.6345339625689855, 0.650577869128657, 0.6333878552848956, 0.45227751013329287, 0.658868344725941, 0.6114525331847166, 0.5900842427744031]"
CPCA,nb,accuracy,0.4577563893403836,0.017279276195938147,0.14865875244140625,"[0.46200980392156865, 0.4889705882352941, 0.43911439114391143, 0.48954489544895446, 0.4445812807881773, 0.45935960591133007, 0.4408866995073892, 0.4482758620689655, 0.44870210135970334, 0.4561186650185414]"
CPCA,nb,fscore,0.44517554105944923,0.024604711015256225,0.14865875244140625,"[0.45031110623411735, 0.4861083100010536, 0.4240980677850398, 0.4935756042885399, 0.42088350941725855, 0.43878922286818034, 0.4253983539655743, 0.4250126312530913, 0.4356402165373113, 0.4519383882443252]"
BC,knn,accuracy,0.5691886641107711,0.016957350646110998,1.1168038845062256,"[0.5269607843137255, 0.5919117647058824, 0.5768757687576875, 0.5584255842558425, 0.5652709359605911, 0.5800492610837439, 0.5775862068965517, 0.5738916256157636, 0.5797280593325093, 0.5611866501854141]"
BC,knn,fscore,0.5564359375556452,0.016840988459157755,1.1168038845062256,"[0.5197294380925056, 0.5840033330286701, 0.566545216115522, 0.542174130149912, 0.5485493311975972, 0.5650132071353484, 0.5709230643191787, 0.5627411277227455, 0.5508715229897948, 0.553809004805179]"
BC,ffnn,accuracy,0.6205820814358408,0.037730907434270065,579.9056072235107,"[0.6262254901960784, 0.6654411764705882, 0.6494464955646614, 0.6432964339174174, 0.6440886684826442, 0.6194581292532935, 0.6354679805891854, 0.5270935963527322, 0.6093943138941846, 0.5859085296376232]"
BC,ffnn,fscore,0.5987801862084958,0.06977931637367216,579.9056072235107,"[0.6330013485200047, 0.6508025475880627, 0.6385164058579796, 0.6455913641346553, 0.6600370224875104, 0.6283442156577652, 0.633350941865519, 0.43843636258385976, 0.5323503437597945, 0.5273713096298078]"
BC,nb,accuracy,0.46021108064887467,0.02156343398847866,0.1609179973602295,"[0.47181372549019607, 0.48284313725490197, 0.4403444034440344, 0.4784747847478475, 0.45935960591133007, 0.42980295566502463, 0.4802955665024631, 0.4753694581280788, 0.4647713226205192, 0.41903584672435107]"
BC,nb,fscore,0.44856131320471215,0.03284379089083503,0.1609179973602295,"[0.46294718191418993, 0.4873889772860948, 0.4261731573289051, 0.47705609948101585, 0.45021721927484704, 0.40029552891338505, 0.4725202342941488, 0.4694786225443991, 0.45689909272426066, 0.3826370182858762]"
FC_Soft,knn,accuracy,0.4248052422195031,0.012291537631186606,0.23964476585388184,"[0.41544117647058826, 0.4117647058823529, 0.4317343173431734, 0.43296432964329645, 0.44950738916256155, 0.41625615763546797, 0.4100985221674877, 0.41625615763546797, 0.4264524103831891, 0.43757725587144625]"
FC_Soft,knn,fscore,0.37655236279333587,0.0109463934489081,0.23964476585388184,"[0.37020118996400625, 0.3647054806022081, 0.37787605675465846, 0.39065234261792564, 0.3973880062012373, 0.3703280010784865, 0.3626110079163631, 0.36921453256249154, 0.3762070728581442, 0.38633993737783767]"
FC_Soft,ffnn,accuracy,0.6436360900762255,0.013076020286873576,585.2320966720581,"[0.6727941164783403, 0.6421568615763795, 0.6432964339174174, 0.6432964342106753, 0.6366995076827815, 0.6428571413890481, 0.6477832526996218, 0.6169950753597203, 0.6514215092871186, 0.6390605681611522]"
FC_Soft,ffnn,fscore,0.6300824082645404,0.026220582577943793,585.2320966720581,"[0.6513025003088586, 0.6116716134980966, 0.5646020734808345, 0.6451185201096346, 0.6413817459259177, 0.6484139467293666, 0.6555260536010555, 0.6139686640724976, 0.6434695745874246, 0.6253693903317178]"
FC_Soft,nb,accuracy,0.4604541155103024,0.022167407785649282,0.1530132293701172,"[0.44730392156862747, 0.48284313725490197, 0.48093480934809346, 0.4883148831488315, 0.4827586206896552, 0.458128078817734, 0.4396551724137931, 0.46551724137931033, 0.4388133498145859, 0.42027194066749074]"
FC_Soft,nb,fscore,0.44909320805196734,0.03283309642555253,0.1530132293701172,"[0.4289630444602867, 0.4772873175295751, 0.48500220186741266, 0.49377654560812945, 0.47983385050190763, 0.44933549289940217, 0.40491227050442685, 0.4520902606073903, 0.4223221222539265, 0.397408974287216]"
FC_Mixed,knn,accuracy,0.42035491217203214,0.0067953116884680535,0.1707777976989746,"[0.4227941176470588, 0.4252450980392157, 0.41697416974169743, 0.40836408364083643, 0.43103448275862066, 0.4211822660098522, 0.42857142857142855, 0.41625615763546797, 0.4215080346106304, 0.411619283065513]"
